,2021-12-30,700亿巨头同花顺又出事！监管出手,中投网
845,2019-06-13,【兴证计算机】行业深度报告之智能投顾：技术为镐，蓝海掘金,兴业计算机团队
846,2019-06-11,A股共发生53宗大宗交易成交30.21亿元（6月11日）,Wind
847,2019-06-11,同花顺今日大宗交易成交5.60万股，成交价88.09元折价0.0%,Wind资讯
848,2019-06-11,华为用友合作明，科创TMT哪些行？【申万宏源TMT】,申万宏源S全民全流量计算机话报
849,2019-06-11,同花顺午后封涨停 成交额11.99亿元封单1.44万手,腾讯网
850,2019-05-23,富途vs老虎：市值大起大落背后,阿尔法工场
851,2019-05-17,锋龙股份遭同花顺“乌龙”攻击！后者曾传播不实内容遭证监会处罚 其他违规处罚,凤凰网
852,2019-05-15,MSCI扩容名单出炉 创业板成为重头戏(附股),投资快报
853,2019-05-14,宁德时代等109只个股新增入MSCI中国A股在岸指数,Wind
854,2019-05-14,MSCI：纳入的26只中国A股股票中，有18只来自创业板,Wind
855,2019-05-13,【朝闻国盛0513】新局面新变化，坚守核心资产,国盛证券研究所
856,2019-05-10,【广证恒生计算机】计算机行业2019年Q1基金持仓分析,广证恒生
857,2019-05-10,同花顺午后封涨停 成交额15.42亿元封单7946手,腾讯网
858,2019-05-10,"锋龙遭同花顺""乌龙""攻击 后者传播不实内容遭处罚 其他违规处罚",证券日报
859,2019-05-09,锋龙股份遭同花顺送“乌龙”攻击 后者曾传播不实内容遭证监会处罚 其他违规处罚,证券日报
860,2019-05-09,同花顺再发不实报道 锋龙股份“躺枪”发文澄清,中证网
861,2019-05-09,“大智慧”张长虹：从资本市场智囊到财务造假者,新京报
862,2019-05-08,逾千家公司首季研发费净利双增 十大“成长王”蕴藏投资良机,证券日报
863,2019-05-07,大智慧实控人被拘涉诉金额超5亿 管理费1.7亿占营收28%拖累净利,长江商报
864,2019-05-06,同花顺早盘封跌停 成交额7.39亿元封单1030手,腾讯网
