,2021-12-31,荣盛石化：目前已顺利产出光伏料产品,Wind
1999,2018-04-24,华创证券化工产品价格数据周报20180422,中财网
2000,2018-04-24,[中性评级]化工行业投资周报：甲醛、环氧丙烷领涨 建议关注环氧丙烷行情,中财网
2001,2018-04-24,[增持评级]化工行业周报：原油及涤纶产业链续涨 国内尿素大幅反弹,中财网
2002,2018-04-24,[买入评级]“炼化-化纤”产业链跟踪点评,中财网
2003,2018-04-24,[增持评级]大炼化聚酯产业链周报：瓶片盈利创新高 坯布旺季继续维持,中财网
2004,2018-04-24,[中性评级]化工行业周报：丁二烯和环氧丙烷涨幅居前 涤纶长丝产业链继续上行,中财网
2005,2018-04-24,[增持评级]基础化工行业周报：苯胺大涨、尿素破僵局 关注IC电子化学品的自主突破,中财网
2006,2018-04-23,[增持评级]石化行业数据周报20180422,中财网
2007,2018-04-23,[领先大市-A评级]基础化工行业周报：甲烷氯化物市场走高 有机硅、聚酯产业链高位向好,中财网
2008,2018-04-23,[强于大市评级]深度*行业*化工行业周报：环氧丙烷、甲醇价格维持强势,中财网
2009,2018-04-23,每周油记：全球原油浮仓大增超千万桶 几乎都在中国山东!,中财网
2010,2018-04-23,[推荐评级]民生化工行业周报：甲醇、甲烷氯化物价格上涨 涤纶长丝继续保持高景气,中财网
2011,2018-04-20,[强于大市评级]石油化工行业点评：看好2季度PTA盈利改善!,中财网
2012,2018-04-17,华创证券化工产品价格数据周报20180416,中财网
2013,2018-04-17,[强于大市评级]原油市场动态跟踪报告：地缘政治风险加剧 油价创三年新高,中财网
2014,2018-04-17,[增持评级]光大证券大炼化聚酯产业链周报20180416,中财网
2015,2018-04-17,"化工行业周报:原油大涨助推涤纶长丝产业链上行,纯碱价格持续上涨",浙商证券
2016,2018-04-16,[增持评级]石化行业数据周报20170415,中财网
2017,2018-04-16,[增持评级]石油化工行业跟踪报告：PTA集中检修期来临 涤纶有望维持高景气,中财网
2018,2018-04-16,[强于大市评级]深度*行业*化工行业周报：纯碱、环氧丙烷价格维持强势,中财网
2019,2018-04-16,[看好评级]全球大型石化项目介绍系列之五(化工/石油化工行业)：PETRONAS炼化综合发展计划之RAPID石化项目,中财网
2020,2018-04-16,[领先大市-A评级]基础化工行业周报：有机硅、涤丝景气向好 PC回暖迹象明显,中财网
2021,2018-04-16,[增持评级]化工行业周报：油价强势反弹 涤纶产业链价格普涨,中财网
2022,2018-04-16,[增持评级]3月原油成品油进出口数据分析：3月成品油出口量大幅增长,中财网
2023,2018-04-16,[增持评级]原油行业周报：美英法空袭叙利亚 有望继续推升油价,中财网
2024,2018-04-16,[看好评级]石油化工行业2018年一季度业绩前瞻：油价向上趋势逐步确立 石化上游迎来复苏,中财网
2025,2018-04-15,[买入评级]荣盛石化(002493)点评：非公开发行获批 助力炼化项目投建,中财网
2026,2018-04-13,每周油记：油价要破100?美国3个月75万桶页岩油抢市场!,中财网
2027,2018-04-13,光大证券：荣盛石化维持买入评级,顶尖财经网
2028,2018-04-13,126股获券商买入评级 荣盛发展目标涨幅达97.52%,Wind
2029,2018-04-12,[推荐评级]基础化工行业2018Q1业绩预告点评：供需格局改善细分行业 创业板业绩大幅上涨,中财网
2030,2018-04-11,[增持评级]基础化工/石油化工行业动态点评：布油突破70美元 民营炼化及PDH重点关注,中财网
2031,2018-04-10,华创证券化工产品价格数据周报20180408,中财网
