,2021-12-31,煤炭坐上“过山车”：价格疯涨后企稳回落,中国经营网
273,2021-10-12,公用事业行业国常会电价政策点评：煤电电价市场化改革再进一步,新浪
274,2021-10-12,汇丰研究：上调多只电力股目标价，推荐华润电力及中国电力,Wind
275,2021-10-12,A股融资融券日报：两融余额增加40.2亿元（10月11日）,Wind
276,2021-10-12,电价上浮政策点评：市场电价中枢上调 提升电力运营商盈利水平,国金证券股份有限公司
277,2021-10-11,财联社10月11日电，汇丰将华能国际H股评级上调至买进；目标价5港元；将华能国际A股评级上调至持有；目标价7.30元人民币；将华电国际H股评级上调至持有；目标价3.40港元；将大唐发电H股评级上调至买,财联社
278,2021-10-11,智通每日大行研报丨美团-W(03690)获高盛看高至312港元 小摩上调华能国际(00902)至“增持”评级,智通财经
279,2021-10-11,华能国际：公司尚未建立财务共享中心,每日经济新闻
280,2021-10-11,小摩：上调华能国际至增持评级 目标价升至5港元,新浪
281,2021-10-11,港股异动 | 华能国际(00902)高开10%领涨电力股 市场交易电价浮动范围调整为不超过20%,智通财经
282,2021-10-11,国泰君安：电价上涨趋势明确，电力板块价值重估,Wind
283,2021-10-11,每日理财观察：投资者踊跃申请开通北交所交易权限,Wind
284,2021-10-11,A股融资融券日报：两融余额增加127.02亿元（10月8日）,Wind
285,2021-10-11,A股早报2021年10月11日星期一,Wind
286,2021-10-11,交易电价浮动上限提高 融资客加仓20只火电概念股,证券时报
287,2021-10-10,国君策略：节后首日市场止跌回温，金秋十月成色十足,Wind
288,2021-10-10,国常会重磅！电价浮动范围上调，影响有多大？利好哪些股？,财联社
289,2021-10-09,公用事业行业点评：电价改革加速推进 电力运营商有望充分受益,新浪
290,2021-10-09,1100亿电力巨头跌停，市值蒸发130亿，与两原因有关？,国际电力网
291,2021-10-09,公用事业：能源政策频出 多地放开电价限制,新浪
292,2021-10-09,大限电背后的博弈,证券时报
293,2021-10-08,电力股跌倒一片！机构却逆势抄底，5只电力股现机构大举净买入,财联社
294,2021-10-08,华能国际龙虎榜数据（10月8日）,Wind
295,2021-10-08,华能国际跌停，4机构合买1.09亿元,证券之星
296,2021-10-08,A股电力、煤炭股今日大跌，机构抄底买入,Wind
297,2021-10-08,A股收盘综述：电、煤、新能源暂时降温，资金涌入保险和农林牧渔板块,Wind
