283,2021-07-12,【中信建投 非银】降准改善交易情绪，继续看好券商板块表现,中信建投非银金融研究
284,2021-07-10,平安“接盘”方正再迎新进展，方正证券易主后如何与平安证券共处？,华夏时报
285,2021-07-08,方正证券再现人事变动，时隔两年后“老将”韩振国重掌研究所！,环球老虎财经
286,2021-07-08,入主“新方正集团” 中国平安能得到什么？,财联社
287,2021-07-08,交易早点（7月8日）,广金期货
288,2021-07-08,中金首以财务顾问亮相，“重整”方正成中国平安史上最大并购案，首次披露权益报告透露四大关键点,财联社
289,2021-07-08,平安重组方正进入实操阶段：中金公司担任财务顾问 合法合规解决平安证券与方正证券同业竞争问题,21世纪经济报道
290,2021-07-08,四家上市公司齐发股权变更公告，“白衣骑士”来自同一家大金主,Wind
291,2021-07-08,平安证券与方正证券合并呼声颇高,南都报
292,2021-07-08,财经早资讯：降准等货币政策将适时运用，瑞丽市姐告国门社区调整为高风险地区,财经网
293,2021-07-08,四家上市公司齐发股权变更公告 “白衣骑士”竟来自同一家大金主,上证报
294,2021-07-08,南财早新闻丨国常会重提“降准”；互联网22起违法实施经营者集中案被处罚,21世纪经济报道
