4039,2018-07-10,沪指强势收复2800点 三大主要股指均小幅高开,股城网
4040,2018-07-10,今日16只股公告增持 股数达0.92亿,证券时报
4041,2018-07-10,大华股份大涨5.2%，报19.61元,腾讯网
4042,2018-07-10,大华股份大涨5.1%，报19.59元,腾讯网
4043,2018-07-10,7月10日股市解盘直播-更新中,中财网
4044,2018-07-09,太平洋电子|每日公告20180709,刘翔电子研究
4045,2018-07-09,晚间重要公告2018年7月9日星期一,Wind
4046,2018-07-09,近日海外机构调研股名单,证券时报网
4047,2018-07-09,大华股份：业务运转健康，莎车PPP项目不会对业绩有太多影响,Wind
4048,2018-07-09,大华股份大涨5.3%，报18.69元,腾讯网
4049,2018-07-09,大华股份大跌后召开投资人会议：在美国的业务占比很小,e公司
4050,2018-07-09,财融汇·早间必读 | 20180709,财通证券融资融券部
4051,2018-07-09,【计算机-胡又文】迎接雪亮工程建设高峰,安信证券研究
4052,2018-07-09,终端消费需求逐步回暖 看好电子行业三大机会,中证报
4053,2018-07-07,连续新低之下反弹动能正酝酿？下周留意这只芯片股,火山财富
4054,2018-07-06,深港通十大成交活跃股排名（7月6日）,Wind
4055,2018-07-06,蓝思科技大跌7.67%，报12.40元,腾讯网
4056,2018-07-06,百度无人巴士上路 安防自动驾驶也不远,工业电器网
4057,2018-07-06,长盈精密大涨7.65%，报12.81元,腾讯网
4058,2018-07-06,大华股份大跌7.06%，报18.17元,腾讯网
4059,2018-07-06,信维通信大涨5.2%，报30.77元,腾讯网
4060,2018-07-06,大华股份大跌5.47%，报18.48元,腾讯网
4061,2018-07-06,长盈精密大涨5.21%，报12.52元,腾讯网
4062,2018-07-06,海康威视大跌5.2%，报31.69元,腾讯网
4063,2018-07-06,大华股份跌停，报17.60元,腾讯网
4064,2018-07-06,海康威视跌1.82%，创年度新低，报32.82元,腾讯网
4065,2018-07-06,蓝思科技跌3.72%，创年度新低，报12.93元,腾讯网
4066,2018-07-06,大华股份大跌6.65%，报18.25元,腾讯网
4067,2018-07-06,欣旺达跌1.74%，创年度新低，报8.45元,腾讯网
4068,2018-07-05,大华股份大跌7.01%，报19.50元,腾讯网
4069,2018-07-05,大华股份大跌5.15%，报19.89元,腾讯网
4070,2018-07-05,大华股份跌2.67%，创年度新低，报20.41元,腾讯网
4071,2018-07-04,大华股份大跌5.04%，报20.92元,腾讯网
4072,2018-07-04,海外机构调研股名单 老板电器最受关注,证券时报网
4073,2018-07-03,乘“入摩”东风 境外机构上半年调研A股超200家,中金在线
4074,2018-07-03,[买入评级]电子行业周报：关注受益于人民币贬值的电子细分领域 继续看好消费电子等基本面拐点,中财网
4075,2018-07-03,谁能圆梦互联网造车？成为汽车行业的“富士康”,第一电动网
4076,2018-07-03,大华股份大跌5.38%，报20.91元,腾讯网
4077,2018-07-03,蓝思科技跌2.73%，创年度新低，报13.19元,腾讯网
4078,2018-07-02,《云计算半月刊》第七期（2018.7.2）,计算机司令部
4079,2018-07-02,【数据揭秘】7股获杠杆资金大手笔加仓,证券时报
4080,2018-07-02,[中性评级]计算机行业周报：参与反弹的三种思路：中报确定性、景气行业、核心公司,中财网
4081,2018-07-02,[优于大势评级]电子行业周报：手机技术屡攀高峰 国产品牌份额上升,中财网
4082,2018-07-02,新能源车概念走强 欣锐科技、蓝海华腾涨停,中国经济网
4083,2018-07-01,半年度盘点：次新股表现抢眼 74只浙股今年逆市上涨,钱江晚报
4084,2018-06-29,大华股份与美国UL战略合作 提升产品检测认证能力,e公司
4085,2018-06-29,大华股份大涨7.02%，报22.72元,腾讯网
4086,2018-06-29,大华股份大涨5.09%，报22.31元,腾讯网
4087,2018-06-28,人工智能+安防五大发展新趋势丨2018AI+安防报告后续,工业电器网
4088,2018-06-28,22家公司获海外机构调研,证券时报
4089,2018-06-27,[买入评级]电子行业2018年度中期投资策略：技术创新不止 产业东移继续 坚守龙头迎接行情复苏,中财网
4090,2018-06-27,近七成公司中报业绩预喜，人工智能领域吸引力不断提升,Wind
4091,2018-06-27,近七成人工智能产业相关公司中报业绩预喜,证券时报网
4092,2018-06-27,人工智能产业发展迈上新台阶 六股人气爆棚,证券日报
4093,2018-06-27,人工智能产业迈上新台阶 近七成公司中报业绩预喜,证券日报
4094,2018-06-26,[优于大市评级]计算机行业跟踪周报：天之将明 其黑尤烈!――基本面给了我们信心,中财网
4095,2018-06-26,电子行业动态周报：国产手机屡攀创新高峰 智能手机行业继续回暖,中财网
4096,2018-06-26,【中信电子】每日动态及海外观点（2018-06-26）,CITICS电子研究
4097,2018-06-25,A股头条之上市公司公告精选（6.26）,金融界
4098,2018-06-25,大华股份：与荣盛控股集团签战略合作协议,e公司
4099,2018-06-25,千亿炼化项目抛出橄榄枝 大华股份有望分羹,e公司
4100,2018-06-25,【中金电子与通信】安防行业观察：多视角研究，视频监控行业仍保持较高景气度,乐平科技视角
4101,2018-06-24,精准抢点央行定向降准利好，北上资金本周罕见大幅增配创业板,e公司
4102,2018-06-22,六月精选股票组合（第三周）| 海通证券研究所出品,微信
4103,2018-06-22,"博采网络,上市公司数字官网打造者",苏南网
4104,2018-06-21,联想双态IT轻咨询 给零跑汽车装上数字化转型的“加速器”,DoNews
4105,2018-06-21,零跑汽车朱江明：造车需长跑 无AI不造车,车质网
4106,2018-06-20,寻找A股“长跑冠军”,中经网
