874,2020-10-22,绿地控股(600606.SH)：绿地全球完成发行2.5亿美元定息债券,格隆汇
875,2020-10-16,72.6亿收购广州绿地绿地 香港离“千亿”还有多远？,每日经济新闻
876,2020-10-15,绿地香港(00337)订立若干承包商协议,智通财经
877,2020-10-14,前9月21家房企销售额超千亿元，碧桂园、恒大、万科排前三,Wind
878,2020-10-14,最后80天四面出击 地产人开始抢收,腾讯网
879,2020-10-13,绿地控股(600606.SH)：9月新增4个房地产项目,格隆汇
880,2020-10-12,广州绿地并入绿地香港：张玉良分封 陈军统领绿地大湾区,新浪
881,2020-10-12,中国信用债评级调整周报,新浪
882,2020-10-12,绿地控股剥离广州绿地予绿地香港 总代价72.6亿元,观点地产网
883,2020-10-12,绿地香港：72.6亿元收购广州绿地股权及债券,中国网
884,2020-10-09,房地产行业研究：单月增速放缓 加推或成调节剂,华安证券
885,2020-10-09,负债进入高危区 绿地分拆自救胜算几何,投资者网
886,2020-10-03,A股绿色周报｜知名房企施工排污超标被罚 年赚6亿大项目迈过环评关,每日经济新闻
887,2020-09-28,绿地控股：公司间接持有蚂蚁集团少量股权,Wind
888,2020-09-28,绿地控股：公司间接持有蚂蚁集团少量股权,e公司
889,2020-09-28,【行情】房地产板块走强，泰禾集团涨6%，嘉凯城、南山控股、绿地控股等小幅跟涨,金十数据
890,2020-09-27,地产业巨变：房企三巨头同时踩中“三道红线” 这些房企面临挑战,新浪
891,2020-09-25,绿地控股：深耕京津冀地区 环京项目已超40个,中证网
892,2020-09-25,蚂蚁最快下周聆讯！这些概念股将迎历史性行情？,金融界
893,2020-09-23,被传上市的绿地金融 或将担起集团降债重任,第一财经
894,2020-09-22,快讯：绿地控股减持和信富邦 国泰和信接盘 减持股份,乐居财经
895,2020-09-21,快讯：因建设工程合同纠纷 绿地控股被起诉 诉讼纠纷,乐居财经
896,2020-09-20,绿地金融被传将分拆上市 专家：若上市可缓解财务压力,华夏时报
897,2020-09-20,绿地金融被传将分拆上市，专家：若上市可提升母公司市值，缓解财务压力,华夏时报
898,2020-09-18,【朝闻国盛0918】预期改善，鸽声不足,国盛证券研究所
899,2020-09-16,绿地：大股东质押1.43亿股公司股权，融资支持上市公司,澎湃新闻
900,2020-09-15,绿地控股：格林兰质押1.43亿股股份 占公司总股本的1.18%,中国网
901,2020-09-15,绿地控股(600606.SH)：子公司签订借款协议 首期向格林兰借款5亿元,格隆汇
902,2020-09-15,绿地控股(600606.SH)：第一大股东格林兰质押1.43亿股,格隆汇
903,2020-09-15,快讯：绿地控股出质协信远创19.99%股权予广西国资委,乐居财经
904,2020-09-14,绿地控股积极响应湖北疫后发展任务，正式启动天河国际会展城,凤凰网
905,2020-09-14,地产股疲软，万科A、保利地产、招商蛇口、绿地控股、金地集团普跌,Wind
906,2020-09-14,快讯：绿地控股持股上海绿地海珀置业从100%降至95%,乐居财经
907,2020-09-12,总投资约500亿元！全球最大室内净展面积会展项目启动,Wind
908,2020-09-11,房地产行业2020年中报总结：三条红线托底估值 特色房企表现占优,西南证券
909,2020-09-11,房地产：泰康系举牌阳光城 启动行业价值重估,财富动力网
910,2020-09-11,绿地控股广西建工 广西首家地方国企完成混改,中国经济网
911,2020-09-10,均安控股(01559)获江苏省建溢价41.94%提现金要约 9月11日复牌,智通财经
912,2020-09-10,险资增持房企点评：泰康系举牌阳光城 启动行业价值重估,新浪
913,2020-09-10,协信地产板块上半年营收20亿 实控人非吴旭也非新加坡企业,重庆商报
914,2020-09-09,土地热线 | 绿地8月拿地总额230亿 万达24.8亿进驻天津静海,观点地产网
915,2020-09-09,绿地控股：8月新增房地产项目6个 总地价229.55万元,中国网
916,2020-09-09,绿地控股(600606.SH):8月新增房地产项目6个,格隆汇
917,2020-09-09,协信地产板块上半年亏了12.57亿 实控人非吴旭也非新加坡企业 亏损,重庆商报
918,2020-09-08,"220家上市房企中期数据:七成压""三道红线"" 150家账上现金不足百亿",新浪
919,2020-09-08,绿地控股全面失守“三道红线”：中期净负债率180%，8月销售额跌幅达33% 盈利能力下降,搜狐
920,2020-09-08,地产股造好，万科A、保利地产、绿地控股、金地集团、华侨城A普涨,Wind
921,2020-09-07,销售降两成 绿地面临降负债,中国经济网
922,2020-09-07,透市|中海、绿地大手笔入局 武汉前8月土地成交破千亿,中国网
923,2020-09-07,长三角一体化(合六)科技创新城启建 绿地打造沪皖合作示范项目,陆家嘴金融网
924,2020-09-07,房地产行业例评：消费股及科技股调整 平衡风格纵深演绎,西南证券
925,2020-09-06,绿地控股打造沪皖合作示范项目,Wind
926,2020-09-06,绿地控股打造沪皖合作示范项目,中证网
927,2020-09-05,快讯：绿地控股新增投资上海绿地宝岛置业 投资比例5％,乐居财经
928,2020-09-05,2020H1中报房地产行业综述：房企整体去杠杆 龙头盈利能力及ROE水平具较强韧性,新浪
929,2020-09-04,绿地金融上市“红与黑”,乐居财经
930,2020-09-04,房企8月统计月报： 业绩持续向好 “三道红线”触发房企广积粮,资本邦
931,2020-09-04,【华创地产袁豪团队】房地产20H1财报综述：业绩暂弱、销售强劲，预计报表韧性依旧,地产豪声音
932,2020-09-03,164家上市房企半年净利总额暴跌24% 盈利能力下降,经济观察报
933,2020-09-02,市值大幅缩水！绿地还要“原地踏步”到何时？,乐居财经
934,2020-09-02,房地产行业日报：前8月房企拿地规模同比增长,新浪
935,2020-09-01,每日全球并购：海正药业拟44亿元购瀚晖制药49%股权，绿地控股35.76亿收购广西建工66%股权（09/01）,晨哨网
936,2020-09-01,绿地参与广西建工混改 大基建全国布局完成,时代在线
937,2020-09-01,快讯：绿地控股新增投资广西建工集团 投资比例66％,乐居财经
938,2020-09-01,2020年第35周地产周报：销售平稳向好 房企中期表现总体靓丽,新浪
939,2020-08-31,绿地控股混改广西建工 基建产业能级有望上4000亿元,证券日报
940,2020-08-31,负债超万亿、现金流腰斩，绿地控股全面失守“三道红线” 偿债能力下降,搜狐
941,2020-08-31,绿地控股分拆绿地金融赴港上市 拟筹资91亿元,新浪
942,2020-08-31,绿地控股旗下子公司绿地金融计划在2021年底前在香港上市,Wind
943,2020-08-31,绿地控股：35亿元受让广西建工66%股权，成控股股东,澎湃新闻
944,2020-08-31,绿地控股参与广西建工混改获突破 并入千亿级子公司大幅增强竞争力,产业经济新闻网
945,2020-08-31,绿地通过混改成功控股广西建工 基建产业能级有望上四千亿,和讯
946,2020-08-31,绿地控股新增逾500亿土储，屡现违法、违规是用力过猛？ 其他违规处罚,云掌财经
947,2020-08-31,绿地控股：35.75亿元受让广西建工集团66%股份,中国网
948,2020-08-30,绿地控股耗资35.76亿元成功控股广西建工,中证网
949,2020-08-30,绿地控股35.76亿元收购广西建工66%股权，参与国企混改迄今标的最大,上观
950,2020-08-30,绿地控股(600606.SH)：全资子公司35.76亿元成功受让广西建工66%股权,格隆汇
951,2020-08-30,受让广西建工66%股权，进入二次混改的绿地并没有闲着,21世纪经济报道
952,2020-08-30,净负债率180%！绿地控股房地产合同销售金额及面积双下滑 盈利能力下降,投资时报
953,2020-08-28,绿地控股上半年净利下滑10%，触网传“三条红线”降债刻不容缓 盈利能力下降,新浪
954,2020-08-28,【华创地产·袁豪团队】房地产周报：估值仓位双双历史底部，融资新规将改善竞争格局,地产豪声音
955,2020-08-28,绿地半年报：销售降两成 面临降负债 盈利能力下降,经济观察网
956,2020-08-28,三道红线下的2020年房企半年报：利润普降，四家亮“红灯”,Wind
957,2020-08-27,三道红线下的2020年房企半年报：富力、融创、绿地、中南亮“红灯”,经济观察报
958,2020-08-27,绿地控股上半年净利同比降近11%现金流量净额大减近五成 运营能力下降,中新经纬
959,2020-08-27,三条红线全部中招！业绩下滑幅度遥遥领先 绿地拉响红色警报 盈利能力下降,腾讯网
960,2020-08-27,绿地拉响红色警报：业绩下滑幅度遥遥领先 三条红线全部中 盈利能力下降,新浪
961,2020-08-27,绿地上半年房产销售同比降两成 短期偿债压力大 偿债能力下降,电缆网
962,2020-08-27,标普：绿地集团将恢复降杠杆趋势,Wind
963,2020-08-27,地产板块下滑，保利地产、万科A、招商蛇口、绿地控股、新城控股、金地集团普跌,Wind
964,2020-08-26,【西南地产纪要】绿地控股在线交流详细版,如说地产
965,2020-08-26,注册制下，个股严重分化，今天两个热点，蚂蚁金服概念和固废处理，板块太小，带不动市场人气,财经
966,2020-08-25,绿地控股半年账单 地产销售与利润双降下的现金流难题 盈利能力下降,观点地产网
967,2020-08-25,绿地控股：与阿里在宁波杭州湾联手打造的科技宅是杭州湾新区首个科技智慧社区,格隆汇
968,2020-08-25,绿地控股中报：负债居高，销售回落，重启求变或将面临更多考验 偿债能力下降,和讯
969,2020-08-25,绿地控股(600606)：回款良好、高预收覆盖、高股息率,新浪
970,2020-08-25,10家上市房企上半年赚逾500亿 资产负债率高企 偿债能力下降,我的钢铁
